symbol;name;width;height;mass_total;mass_q1;mass_q2;mass_q3;mass_q4;spec_q1;spec_q2;spec_q3;spec_q4;centroid_x;centroid_y;centroid_x_norm;centroid_y_norm;inertia_x;inertia_y;inertia_x_norm;inertia_y_norm
א;alef;62;66;1148;328;274;265;281;0.320626;0.267840;0.259042;0.274682;29.372822;32.304007;0.481522;0.496985;221958.901568;197054.432056;0.044386;0.044654
ב;bet;64;67;975;194;235;192;354;0.183712;0.222538;0.176471;0.325368;33.201026;35.744615;0.527000;0.541585;320075.409231;146928.598974;0.073130;0.036791
ג;gimel;50;67;767;90;223;186;268;0.109091;0.270303;0.218824;0.315294;26.881356;34.997392;0.548599;0.530264;190951.994785;46984.203390;0.055460;0.024503
ד;dalet;61;66;738;176;337;0;225;0.177778;0.329423;0.000000;0.219941;34.609756;24.304878;0.576829;0.373921;172668.402439;78175.609756;0.053712;0.028468
ה;he;60;67;984;201;289;260;234;0.203030;0.291919;0.254902;0.229412;30.398374;31.310976;0.515227;0.474409;252154.841463;238261.837398;0.057085;0.067260
ו;vav;26;66;500;125;125;125;125;0.291375;0.291375;0.291375;0.291375;12.500000;32.500000;0.500000;0.500000;104125.000000;4125.000000;0.047808;0.012204
ז;zayin;47;66;648;238;183;185;42;0.313570;0.231061;0.243742;0.053030;21.290123;26.401235;0.462829;0.406173;152293.679012;25605.456790;0.053953;0.017888
ח;het;60;67;1082;325;289;234;234;0.328283;0.291919;0.229412;0.229412;28.636784;30.094270;0.485369;0.455974;252552.384473;273292.256007;0.051997;0.070161
ט;tet;61;68;1156;267;318;282;289;0.261765;0.301708;0.276471;0.274194;29.965398;33.288062;0.499423;0.496837;282079.075260;257636.615917;0.052771;0.059895
י;yod;26;42;260;65;65;65;65;0.238095;0.238095;0.238095;0.238095;12.500000;20.500000;0.500000;0.500000;14625.000000;2145.000000;0.031888;0.012204
כ;kaf;52;68;795;149;248;150;248;0.168552;0.280543;0.169683;0.280543;27.986164;33.522013;0.548748;0.500329;232036.364780;79428.847799;0.063121;0.036949
ל;lamed;52;85;864;315;207;25;317;0.288462;0.189560;0.022361;0.283542;26.599537;39.729167;0.521560;0.472966;283728.625000;99581.439815;0.045452;0.042624
מ;mem;63;67;1247;331;304;258;354;0.323558;0.287879;0.244782;0.325368;32.368885;33.024058;0.522079;0.500365;317169.278268;271540.312751;0.056660;0.054864
נ;nun;40;67;669;95;220;96;258;0.143939;0.333333;0.141176;0.379412;22.576981;34.164425;0.578897;0.517643;191435.913303;27679.285501;0.063745;0.025859
ס;samekh;63;68;1211;299;305;299;308;0.283681;0.280331;0.283681;0.283088;31.027250;33.561519;0.500440;0.500918;286628.166804;247482.100743;0.051187;0.051489
ע;ayin;60;71;1064;260;251;330;223;0.247619;0.239048;0.305556;0.206481;30.528195;35.117481;0.517427;0.501678;261426.314850;157893.154135;0.048741;0.041221
פ;pe;59;68;1154;339;292;241;282;0.343813;0.286275;0.244422;0.276471;28.881282;32.390815;0.497953;0.483445;294606.742634;190438.735702;0.055210;0.047407
צ;tsadi;56;66;963;230;271;158;304;0.248918;0.293290;0.170996;0.329004;30.012461;33.691589;0.545681;0.518332;247491.401869;102715.850467;0.058999;0.034012
ק;qof;57;85;1149;268;419;315;147;0.227891;0.344007;0.261628;0.117883;25.994778;35.414273;0.464192;0.421598;454700.805918;191389.968668;0.054773;0.051268
ר;resh;56;67;673;168;271;0;234;0.181818;0.293290;0.000000;0.245798;34.821694;26.702823;0.633122;0.404588;159190.564636;84434.603269;0.052693;0.040006
ש;shin;73;67;1428;380;338;401;309;0.319865;0.276822;0.327614;0.245628;34.636555;32.658964;0.481063;0.494833;300458.915266;429256.371849;0.046871;0.056408
ת;tav;69;67;1255;366;326;329;234;0.326203;0.282251;0.284602;0.196639;35.376892;30.719522;0.520248;0.465447;321687.271713;326624.729880;0.057101;0.054665
ך;final_kaf;56;86;845;168;362;0;315;0.139535;0.300664;0.000000;0.261628;36.501775;35.060355;0.663669;0.412475;396777.921893;94835.247337;0.063488;0.035788
ם;final_mem;60;67;1289;325;288;338;338;0.328283;0.290909;0.331373;0.331373;28.767261;34.039566;0.487581;0.515751;357390.982157;284996.178433;0.061765;0.061416
ן;final_nun;26;85;690;170;170;175;175;0.311355;0.311355;0.313059;0.313059;12.500000;42.000000;0.500000;0.500000;273700.000000;5692.500000;0.054902;0.012204
ף;final_pe;59;86;1194;452;392;0;350;0.362470;0.303876;0.000000;0.271318;33.167504;34.449749;0.571854;0.405291;453157.484925;245458.499162;0.051315;0.059057
ץ;final_tsadi;56;85;943;296;332;175;140;0.251701;0.282313;0.145349;0.116279;28.645811;35.386002;0.520833;0.421262;349711.495228;74143.700954;0.051329;0.025072
