1: [א(alef)=1.000000, d=0.000000; ש(shin)=0.983556, d=0.016719; ס(samekh)=0.978761, d=0.021700; ט(tet)=0.975580, d=0.025031; פ(pe)=0.975546, d=0.025067; ו(vav)=0.962328, d=0.039147; מ(mem)=0.955858, d=0.046180; ע(ayin)=0.954336, d=0.047849; ן(final_nun)=0.952226, d=0.050171; ח(het)=0.952064, d=0.050349; ם(final_mem)=0.951663, d=0.050792; ת(tav)=0.949416, d=0.053279; י(yod)=0.945196, d=0.057982; ה(he)=0.943414, d=0.059980; צ(tsadi)=0.932147, d=0.072793; ב(bet)=0.918981, d=0.088162; ק(qof)=0.917815, d=0.089545; כ(kaf)=0.917687, d=0.089696; ג(gimel)=0.914249, d=0.093794; ל(lamed)=0.911519, d=0.097069; נ(nun)=0.902796, d=0.107670; ץ(final_tsadi)=0.892502, d=0.120445; ז(zayin)=0.892400, d=0.120573; ף(final_pe)=0.879226, d=0.137364; ד(dalet)=0.844253, d=0.184479; ר(resh)=0.830175, d=0.204565; ך(final_kaf)=0.814590, d=0.227612]
2: [נ(nun)=1.000000, d=0.000000; צ(tsadi)=0.965043, d=0.036223; ג(gimel)=0.961828, d=0.039687; כ(kaf)=0.957740, d=0.044125; ב(bet)=0.940733, d=0.063000; ע(ayin)=0.937171, d=0.067042; מ(mem)=0.925307, d=0.080722; ת(tav)=0.920226, d=0.086689; ה(he)=0.919305, d=0.087778; י(yod)=0.918514, d=0.088715; ס(samekh)=0.916307, d=0.091337; ו(vav)=0.914597, d=0.093378; ל(lamed)=0.914096, d=0.093977; ט(tet)=0.913915, d=0.094194; פ(pe)=0.910328, d=0.098506; ן(final_nun)=0.906184, d=0.103529; א(alef)=0.902796, d=0.107670; ש(shin)=0.897292, d=0.114465; ף(final_pe)=0.893746, d=0.118886; ם(final_mem)=0.892017, d=0.121055; ח(het)=0.890783, d=0.122607; ץ(final_tsadi)=0.889382, d=0.124377; ר(resh)=0.873481, d=0.144844; ק(qof)=0.867661, d=0.152523; ך(final_kaf)=0.866234, d=0.154423; ד(dalet)=0.863083, d=0.158637; ז(zayin)=0.857280, d=0.166480]
3: [י(yod)=1.000000, d=0.000000; ע(ayin)=0.961902, d=0.039607; ו(vav)=0.947322, d=0.055608; א(alef)=0.945196, d=0.057982; ס(samekh)=0.941188, d=0.062487; ג(gimel)=0.940042, d=0.063782; ל(lamed)=0.939674, d=0.064199; צ(tsadi)=0.939562, d=0.064325; כ(kaf)=0.939545, d=0.064345; ט(tet)=0.938002, d=0.066096; פ(pe)=0.937031, d=0.067200; ה(he)=0.936501, d=0.067805; ב(bet)=0.934713, d=0.069847; ת(tav)=0.933004, d=0.071807; ש(shin)=0.931159, d=0.073931; ן(final_nun)=0.927977, d=0.077613; מ(mem)=0.926963, d=0.078792; ח(het)=0.923405, d=0.082948; נ(nun)=0.918514, d=0.088715; ץ(final_tsadi)=0.914344, d=0.093681; ק(qof)=0.911275, d=0.097363; ם(final_mem)=0.906928, d=0.102623; ז(zayin)=0.902932, d=0.107503; ף(final_pe)=0.885521, d=0.129279; ד(dalet)=0.862206, d=0.159815; ר(resh)=0.849312, d=0.177424; ך(final_kaf)=0.833461, d=0.199816]
4: [א(alef)=1.000000, d=0.000000; ש(shin)=0.983556, d=0.016719; ס(samekh)=0.978761, d=0.021700; ט(tet)=0.975580, d=0.025031; פ(pe)=0.975546, d=0.025067; ו(vav)=0.962328, d=0.039147; מ(mem)=0.955858, d=0.046180; ע(ayin)=0.954336, d=0.047849; ן(final_nun)=0.952226, d=0.050171; ח(het)=0.952064, d=0.050349; ם(final_mem)=0.951663, d=0.050792; ת(tav)=0.949416, d=0.053279; י(yod)=0.945196, d=0.057982; ה(he)=0.943414, d=0.059980; צ(tsadi)=0.932147, d=0.072793; ב(bet)=0.918981, d=0.088162; ק(qof)=0.917815, d=0.089545; כ(kaf)=0.917687, d=0.089696; ג(gimel)=0.914249, d=0.093794; ל(lamed)=0.911519, d=0.097069; נ(nun)=0.902796, d=0.107670; ץ(final_tsadi)=0.892502, d=0.120445; ז(zayin)=0.892400, d=0.120573; ף(final_pe)=0.879226, d=0.137364; ד(dalet)=0.844253, d=0.184479; ר(resh)=0.830175, d=0.204565; ך(final_kaf)=0.814590, d=0.227612]
5: [ו(vav)=1.000000, d=0.000000; ן(final_nun)=0.978458, d=0.022016; א(alef)=0.962328, d=0.039147; פ(pe)=0.961697, d=0.039828; ס(samekh)=0.961177, d=0.040391; ש(shin)=0.953853, d=0.048379; מ(mem)=0.953277, d=0.049013; ט(tet)=0.952651, d=0.049703; ע(ayin)=0.949061, d=0.053673; י(yod)=0.947322, d=0.055608; ם(final_mem)=0.941393, d=0.062256; ת(tav)=0.941296, d=0.062365; צ(tsadi)=0.940700, d=0.063038; ח(het)=0.927983, d=0.077606; ה(he)=0.927141, d=0.078584; ג(gimel)=0.920870, d=0.085929; כ(kaf)=0.919563, d=0.087473; ב(bet)=0.918851, d=0.088316; נ(nun)=0.914597, d=0.093378; ל(lamed)=0.903823, d=0.106412; ק(qof)=0.901480, d=0.109287; ץ(final_tsadi)=0.889252, d=0.124540; ז(zayin)=0.884481, d=0.130606; ף(final_pe)=0.877516, d=0.139580; ד(dalet)=0.844749, d=0.183784; ר(resh)=0.833045, d=0.200416; ך(final_kaf)=0.819234, d=0.220652]
6: [ה(he)=1.000000, d=0.000000; ת(tav)=0.969695, d=0.031252; ע(ayin)=0.962464, d=0.039000; ח(het)=0.958656, d=0.043127; ט(tet)=0.957443, d=0.044449; פ(pe)=0.951353, d=0.051134; ס(samekh)=0.951116, d=0.051396; כ(kaf)=0.946869, d=0.056112; ל(lamed)=0.946341, d=0.056701; מ(mem)=0.944597, d=0.058652; א(alef)=0.943414, d=0.059980; ש(shin)=0.940285, d=0.063507; צ(tsadi)=0.939037, d=0.064921; י(yod)=0.936501, d=0.067805; ק(qof)=0.929729, d=0.075582; ב(bet)=0.927337, d=0.078357; ו(vav)=0.927141, d=0.078584; ג(gimel)=0.926385, d=0.079464; ץ(final_tsadi)=0.923578, d=0.082745; נ(nun)=0.919305, d=0.087778; ף(final_pe)=0.917087, d=0.090410; ם(final_mem)=0.916568, d=0.091027; ן(final_nun)=0.915719, d=0.092038; ז(zayin)=0.904544, d=0.105529; ד(dalet)=0.878335, d=0.138518; ר(resh)=0.866312, d=0.154318; ך(final_kaf)=0.848849, d=0.178066]
7: [ב(bet)=1.000000, d=0.000000; ג(gimel)=0.968463, d=0.032564; צ(tsadi)=0.955221, d=0.046878; כ(kaf)=0.954410, d=0.047768; ע(ayin)=0.949746, d=0.052914; נ(nun)=0.940733, d=0.063000; י(yod)=0.934713, d=0.069847; ס(samekh)=0.927473, d=0.078199; ה(he)=0.927337, d=0.078357; ט(tet)=0.926227, d=0.079649; ל(lamed)=0.925095, d=0.080970; מ(mem)=0.923039, d=0.083378; א(alef)=0.918981, d=0.088162; ו(vav)=0.918851, d=0.088316; פ(pe)=0.916554, d=0.091044; ת(tav)=0.916213, d=0.091449; ש(shin)=0.911011, d=0.097682; ן(final_nun)=0.906683, d=0.102921; ם(final_mem)=0.902558, d=0.107962; ח(het)=0.899919, d=0.111211; ץ(final_tsadi)=0.887759, d=0.126432; ק(qof)=0.878903, d=0.137781; ף(final_pe)=0.871805, d=0.147046; ז(zayin)=0.867028, d=0.153366; ר(resh)=0.846737, d=0.181005; ד(dalet)=0.846302, d=0.181611; ך(final_kaf)=0.836618, d=0.195288]
8: [א(alef)=1.000000, d=0.000000; ש(shin)=0.983556, d=0.016719; ס(samekh)=0.978761, d=0.021700; ט(tet)=0.975580, d=0.025031; פ(pe)=0.975546, d=0.025067; ו(vav)=0.962328, d=0.039147; מ(mem)=0.955858, d=0.046180; ע(ayin)=0.954336, d=0.047849; ן(final_nun)=0.952226, d=0.050171; ח(het)=0.952064, d=0.050349; ם(final_mem)=0.951663, d=0.050792; ת(tav)=0.949416, d=0.053279; י(yod)=0.945196, d=0.057982; ה(he)=0.943414, d=0.059980; צ(tsadi)=0.932147, d=0.072793; ב(bet)=0.918981, d=0.088162; ק(qof)=0.917815, d=0.089545; כ(kaf)=0.917687, d=0.089696; ג(gimel)=0.914249, d=0.093794; ל(lamed)=0.911519, d=0.097069; נ(nun)=0.902796, d=0.107670; ץ(final_tsadi)=0.892502, d=0.120445; ז(zayin)=0.892400, d=0.120573; ף(final_pe)=0.879226, d=0.137364; ד(dalet)=0.844253, d=0.184479; ר(resh)=0.830175, d=0.204565; ך(final_kaf)=0.814590, d=0.227612]
9: [ו(vav)=1.000000, d=0.000000; ן(final_nun)=0.978458, d=0.022016; א(alef)=0.962328, d=0.039147; פ(pe)=0.961697, d=0.039828; ס(samekh)=0.961177, d=0.040391; ש(shin)=0.953853, d=0.048379; מ(mem)=0.953277, d=0.049013; ט(tet)=0.952651, d=0.049703; ע(ayin)=0.949061, d=0.053673; י(yod)=0.947322, d=0.055608; ם(final_mem)=0.941393, d=0.062256; ת(tav)=0.941296, d=0.062365; צ(tsadi)=0.940700, d=0.063038; ח(het)=0.927983, d=0.077606; ה(he)=0.927141, d=0.078584; ג(gimel)=0.920870, d=0.085929; כ(kaf)=0.919563, d=0.087473; ב(bet)=0.918851, d=0.088316; נ(nun)=0.914597, d=0.093378; ל(lamed)=0.903823, d=0.106412; ק(qof)=0.901480, d=0.109287; ץ(final_tsadi)=0.889252, d=0.124540; ז(zayin)=0.884481, d=0.130606; ף(final_pe)=0.877516, d=0.139580; ד(dalet)=0.844749, d=0.183784; ר(resh)=0.833045, d=0.200416; ך(final_kaf)=0.819234, d=0.220652]
10: [ת(tav)=1.000000, d=0.000000; ה(he)=0.969695, d=0.031252; פ(pe)=0.967358, d=0.033744; ט(tet)=0.962509, d=0.038951; ח(het)=0.961795, d=0.039722; מ(mem)=0.959335, d=0.042389; ס(samekh)=0.959070, d=0.042677; ע(ayin)=0.956762, d=0.045192; א(alef)=0.949416, d=0.053279; ש(shin)=0.948677, d=0.054099; ו(vav)=0.941296, d=0.062365; צ(tsadi)=0.940566, d=0.063190; כ(kaf)=0.936782, d=0.067485; ן(final_nun)=0.933516, d=0.071218; י(yod)=0.933004, d=0.071807; ם(final_mem)=0.927647, d=0.077997; ל(lamed)=0.927479, d=0.078192; ק(qof)=0.926683, d=0.079118; נ(nun)=0.920226, d=0.086689; ף(final_pe)=0.919611, d=0.087416; ג(gimel)=0.919210, d=0.087890; ץ(final_tsadi)=0.916764, d=0.090793; ב(bet)=0.916213, d=0.091449; ז(zayin)=0.900945, d=0.109946; ד(dalet)=0.875969, d=0.141592; ר(resh)=0.863095, d=0.158621; ך(final_kaf)=0.846286, d=0.181634]
11: [ך(final_kaf)=1.000000, d=0.000000; ר(resh)=0.967270, d=0.033837; ד(dalet)=0.912312, d=0.096116; ף(final_pe)=0.898524, d=0.112936; ץ(final_tsadi)=0.872759, d=0.145791; כ(kaf)=0.867413, d=0.152854; נ(nun)=0.866234, d=0.154423; ל(lamed)=0.864357, d=0.156930; ג(gimel)=0.852012, d=0.173692; ה(he)=0.848849, d=0.178066; צ(tsadi)=0.847475, d=0.179976; ת(tav)=0.846286, d=0.181634; ע(ayin)=0.842188, d=0.187384; ב(bet)=0.836618, d=0.195288; י(yod)=0.833461, d=0.199816; ז(zayin)=0.830076, d=0.204709; מ(mem)=0.828954, d=0.206339; ח(het)=0.826975, d=0.209226; ק(qof)=0.826616, d=0.209752; פ(pe)=0.824534, d=0.212806; ט(tet)=0.824279, d=0.213181; ס(samekh)=0.822832, d=0.215315; ו(vav)=0.819234, d=0.220652; א(alef)=0.814590, d=0.227612; ן(final_nun)=0.811749, d=0.231908; ש(shin)=0.810869, d=0.233245; ם(final_mem)=0.798837, d=0.251819]
