index;rank_1_name;rank_1_char;rank_1_similarity;rank_1_distance;rank_2_name;rank_2_char;rank_2_similarity;rank_2_distance;rank_3_name;rank_3_char;rank_3_similarity;rank_3_distance;rank_4_name;rank_4_char;rank_4_similarity;rank_4_distance;rank_5_name;rank_5_char;rank_5_similarity;rank_5_distance
1;alef;א;1.000000;0.000000;shin;ש;0.983556;0.016719;samekh;ס;0.978761;0.021700;tet;ט;0.975580;0.025031;pe;פ;0.975546;0.025067
2;nun;נ;1.000000;0.000000;tsadi;צ;0.965043;0.036223;gimel;ג;0.961828;0.039687;kaf;כ;0.957740;0.044125;bet;ב;0.940733;0.063000
3;yod;י;1.000000;0.000000;ayin;ע;0.961902;0.039607;vav;ו;0.947322;0.055608;alef;א;0.945196;0.057982;samekh;ס;0.941188;0.062487
4;alef;א;1.000000;0.000000;shin;ש;0.983556;0.016719;samekh;ס;0.978761;0.021700;tet;ט;0.975580;0.025031;pe;פ;0.975546;0.025067
5;vav;ו;1.000000;0.000000;final_nun;ן;0.978458;0.022016;alef;א;0.962328;0.039147;pe;פ;0.961697;0.039828;samekh;ס;0.961177;0.040391
6;he;ה;1.000000;0.000000;tav;ת;0.969695;0.031252;ayin;ע;0.962464;0.039000;het;ח;0.958656;0.043127;tet;ט;0.957443;0.044449
7;bet;ב;1.000000;0.000000;gimel;ג;0.968463;0.032564;tsadi;צ;0.955221;0.046878;kaf;כ;0.954410;0.047768;ayin;ע;0.949746;0.052914
8;alef;א;1.000000;0.000000;shin;ש;0.983556;0.016719;samekh;ס;0.978761;0.021700;tet;ט;0.975580;0.025031;pe;פ;0.975546;0.025067
9;vav;ו;1.000000;0.000000;final_nun;ן;0.978458;0.022016;alef;א;0.962328;0.039147;pe;פ;0.961697;0.039828;samekh;ס;0.961177;0.040391
10;tav;ת;1.000000;0.000000;he;ה;0.969695;0.031252;pe;פ;0.967358;0.033744;tet;ט;0.962509;0.038951;het;ח;0.961795;0.039722
11;final_kaf;ך;1.000000;0.000000;resh;ר;0.967270;0.033837;dalet;ד;0.912312;0.096116;final_pe;ף;0.898524;0.112936;final_tsadi;ץ;0.872759;0.145791
