1: [א(alef)=0.987884, d=0.012264; ש(shin)=0.987847, d=0.012303; ס(samekh)=0.983310, d=0.016974; פ(pe)=0.980984, d=0.019385; ט(tet)=0.978093, d=0.022398; ו(vav)=0.964781, d=0.036504; מ(mem)=0.964130, d=0.037204; ם(final_mem)=0.960316, d=0.041324; ן(final_nun)=0.958604, d=0.043184; ת(tav)=0.951464, d=0.051012; ע(ayin)=0.951399, d=0.051084; ח(het)=0.950173, d=0.052440; ה(he)=0.941063, d=0.062628; י(yod)=0.938396, d=0.065648; צ(tsadi)=0.933787, d=0.070908; ב(bet)=0.916294, d=0.091353; כ(kaf)=0.915871, d=0.091856; ג(gimel)=0.912563, d=0.095815; ק(qof)=0.912433, d=0.095971; ל(lamed)=0.905838, d=0.103950; נ(nun)=0.904543, d=0.105531; ץ(final_tsadi)=0.888060, d=0.126051; ז(zayin)=0.886333, d=0.128244; ף(final_pe)=0.879619, d=0.136855; ד(dalet)=0.842417, d=0.187061; ר(resh)=0.829685, d=0.205276; ך(final_kaf)=0.814650, d=0.227521]
2: [נ(nun)=0.981699, d=0.018642; צ(tsadi)=0.964113, d=0.037223; ג(gimel)=0.949552, d=0.053128; כ(kaf)=0.945636, d=0.057489; ע(ayin)=0.933151, d=0.071638; ב(bet)=0.932835, d=0.072000; מ(mem)=0.931712, d=0.073293; ת(tav)=0.921188, d=0.085555; ס(samekh)=0.918874, d=0.088289; ו(vav)=0.917580, d=0.089823; ה(he)=0.915956, d=0.091756; ט(tet)=0.915891, d=0.091833; פ(pe)=0.913260, d=0.094979; י(yod)=0.912313, d=0.096115; ן(final_nun)=0.912165, d=0.096293; א(alef)=0.903994, d=0.106203; ל(lamed)=0.903174, d=0.107206; ש(shin)=0.900129, d=0.110952; ם(final_mem)=0.898913, d=0.112455; ח(het)=0.890765, d=0.122630; ף(final_pe)=0.890328, d=0.123181; ץ(final_tsadi)=0.881128, d=0.134909; ר(resh)=0.866148, d=0.154538; ק(qof)=0.864263, d=0.157055; ך(final_kaf)=0.859527, d=0.163430; ד(dalet)=0.856059, d=0.168144; ז(zayin)=0.851641, d=0.174204]
3: [י(yod)=0.993144, d=0.006903; ע(ayin)=0.963936, d=0.037413; ו(vav)=0.953555, d=0.048707; א(alef)=0.949755, d=0.052903; ס(samekh)=0.945766, d=0.057344; צ(tsadi)=0.942023, d=0.061545; ט(tet)=0.941937, d=0.061642; פ(pe)=0.941799, d=0.061797; ג(gimel)=0.939465, d=0.064436; כ(kaf)=0.938790, d=0.065201; ה(he)=0.937367, d=0.066818; ת(tav)=0.936048, d=0.068321; ל(lamed)=0.935921, d=0.068466; ש(shin)=0.935578, d=0.068858; ב(bet)=0.934459, d=0.070138; ן(final_nun)=0.933956, d=0.070714; מ(mem)=0.931533, d=0.073499; ח(het)=0.925705, d=0.080258; נ(nun)=0.919577, d=0.087457; ץ(final_tsadi)=0.912107, d=0.096363; ם(final_mem)=0.911739, d=0.096805; ק(qof)=0.911373, d=0.097246; ז(zayin)=0.901593, d=0.109148; ף(final_pe)=0.885478, d=0.129333; ד(dalet)=0.860596, d=0.161985; ר(resh)=0.847790, d=0.179537; ך(final_kaf)=0.832136, d=0.201727]
4: [א(alef)=0.987884, d=0.012264; ש(shin)=0.987847, d=0.012303; ס(samekh)=0.983310, d=0.016974; פ(pe)=0.980984, d=0.019385; ט(tet)=0.978093, d=0.022398; ו(vav)=0.964781, d=0.036504; מ(mem)=0.964130, d=0.037204; ם(final_mem)=0.960316, d=0.041324; ן(final_nun)=0.958604, d=0.043184; ת(tav)=0.951464, d=0.051012; ע(ayin)=0.951399, d=0.051084; ח(het)=0.950173, d=0.052440; ה(he)=0.941063, d=0.062628; י(yod)=0.938396, d=0.065648; צ(tsadi)=0.933787, d=0.070908; ב(bet)=0.916294, d=0.091353; כ(kaf)=0.915871, d=0.091856; ג(gimel)=0.912563, d=0.095815; ק(qof)=0.912433, d=0.095971; ל(lamed)=0.905838, d=0.103950; נ(nun)=0.904543, d=0.105531; ץ(final_tsadi)=0.888060, d=0.126051; ז(zayin)=0.886333, d=0.128244; ף(final_pe)=0.879619, d=0.136855; ד(dalet)=0.842417, d=0.187061; ר(resh)=0.829685, d=0.205276; ך(final_kaf)=0.814650, d=0.227521]
5: [ו(vav)=0.993128, d=0.006919; ן(final_nun)=0.985127, d=0.015097; פ(pe)=0.960955, d=0.040632; א(alef)=0.959985, d=0.041683; ס(samekh)=0.959532, d=0.042175; מ(mem)=0.953687, d=0.048562; ש(shin)=0.953440, d=0.048834; ט(tet)=0.950927, d=0.051606; ע(ayin)=0.944363, d=0.058915; ם(final_mem)=0.944307, d=0.058977; י(yod)=0.941155, d=0.062524; ת(tav)=0.939423, d=0.064484; צ(tsadi)=0.937943, d=0.066163; ח(het)=0.926226, d=0.079650; ה(he)=0.923847, d=0.082431; ג(gimel)=0.916882, d=0.090653; כ(kaf)=0.915558, d=0.092231; ב(bet)=0.915236, d=0.092614; נ(nun)=0.912279, d=0.096156; ל(lamed)=0.898931, d=0.112432; ק(qof)=0.898815, d=0.112576; ץ(final_tsadi)=0.885356, d=0.129490; ז(zayin)=0.881238, d=0.134767; ף(final_pe)=0.875421, d=0.142307; ד(dalet)=0.841989, d=0.187664; ר(resh)=0.830484, d=0.204118; ך(final_kaf)=0.816974, d=0.224029]
6: [ה(he)=0.986170, d=0.014023; ת(tav)=0.977717, d=0.022791; ט(tet)=0.960563, d=0.041056; ע(ayin)=0.959265, d=0.042465; ח(het)=0.958888, d=0.042875; פ(pe)=0.955625, d=0.046436; ס(samekh)=0.954206, d=0.047992; מ(mem)=0.952641, d=0.049713; כ(kaf)=0.943650, d=0.059715; א(alef)=0.943283, d=0.060128; ש(shin)=0.942589, d=0.060908; צ(tsadi)=0.941222, d=0.062449; ל(lamed)=0.936034, d=0.068337; י(yod)=0.930348, d=0.074867; ו(vav)=0.928929, d=0.076509; ק(qof)=0.924142, d=0.082084; ג(gimel)=0.923812, d=0.082471; ב(bet)=0.923627, d=0.082689; ם(final_mem)=0.922006, d=0.084592; נ(nun)=0.921632, d=0.085032; ן(final_nun)=0.919689, d=0.087324; ף(final_pe)=0.919067, d=0.088060; ץ(final_tsadi)=0.916976, d=0.090541; ז(zayin)=0.897683, d=0.113979; ד(dalet)=0.876068, d=0.141463; ר(resh)=0.865858, d=0.154924; ך(final_kaf)=0.849112, d=0.177702]
7: [ב(bet)=0.981413, d=0.018939; ג(gimel)=0.964786, d=0.036499; צ(tsadi)=0.963871, d=0.037484; ע(ayin)=0.949822, d=0.052829; כ(kaf)=0.949542, d=0.053139; נ(nun)=0.946032, d=0.057046; ס(samekh)=0.933582, d=0.071143; מ(mem)=0.932728, d=0.072124; ט(tet)=0.931355, d=0.073704; י(yod)=0.930163, d=0.075080; ה(he)=0.926012, d=0.079900; ו(vav)=0.924831, d=0.081279; א(alef)=0.922499, d=0.084012; פ(pe)=0.921781, d=0.084856; ת(tav)=0.919261, d=0.087831; ש(shin)=0.916103, d=0.091580; ן(final_nun)=0.914986, d=0.092913; ל(lamed)=0.914978, d=0.092923; ם(final_mem)=0.912452, d=0.095948; ח(het)=0.900643, d=0.110318; ץ(final_tsadi)=0.880655, d=0.135518; ק(qof)=0.874958, d=0.142912; ף(final_pe)=0.870449, d=0.148833; ז(zayin)=0.860662, d=0.161896; ר(resh)=0.842885, d=0.186402; ד(dalet)=0.841219, d=0.188751; ך(final_kaf)=0.833538, d=0.199705]
8: [א(alef)=0.987884, d=0.012264; ש(shin)=0.987847, d=0.012303; ס(samekh)=0.983310, d=0.016974; פ(pe)=0.980984, d=0.019385; ט(tet)=0.978093, d=0.022398; ו(vav)=0.964781, d=0.036504; מ(mem)=0.964130, d=0.037204; ם(final_mem)=0.960316, d=0.041324; ן(final_nun)=0.958604, d=0.043184; ת(tav)=0.951464, d=0.051012; ע(ayin)=0.951399, d=0.051084; ח(het)=0.950173, d=0.052440; ה(he)=0.941063, d=0.062628; י(yod)=0.938396, d=0.065648; צ(tsadi)=0.933787, d=0.070908; ב(bet)=0.916294, d=0.091353; כ(kaf)=0.915871, d=0.091856; ג(gimel)=0.912563, d=0.095815; ק(qof)=0.912433, d=0.095971; ל(lamed)=0.905838, d=0.103950; נ(nun)=0.904543, d=0.105531; ץ(final_tsadi)=0.888060, d=0.126051; ז(zayin)=0.886333, d=0.128244; ף(final_pe)=0.879619, d=0.136855; ד(dalet)=0.842417, d=0.187061; ר(resh)=0.829685, d=0.205276; ך(final_kaf)=0.814650, d=0.227521]
9: [ו(vav)=0.993128, d=0.006919; ן(final_nun)=0.985127, d=0.015097; פ(pe)=0.960955, d=0.040632; א(alef)=0.959985, d=0.041683; ס(samekh)=0.959532, d=0.042175; מ(mem)=0.953687, d=0.048562; ש(shin)=0.953440, d=0.048834; ט(tet)=0.950927, d=0.051606; ע(ayin)=0.944363, d=0.058915; ם(final_mem)=0.944307, d=0.058977; י(yod)=0.941155, d=0.062524; ת(tav)=0.939423, d=0.064484; צ(tsadi)=0.937943, d=0.066163; ח(het)=0.926226, d=0.079650; ה(he)=0.923847, d=0.082431; ג(gimel)=0.916882, d=0.090653; כ(kaf)=0.915558, d=0.092231; ב(bet)=0.915236, d=0.092614; נ(nun)=0.912279, d=0.096156; ל(lamed)=0.898931, d=0.112432; ק(qof)=0.898815, d=0.112576; ץ(final_tsadi)=0.885356, d=0.129490; ז(zayin)=0.881238, d=0.134767; ף(final_pe)=0.875421, d=0.142307; ד(dalet)=0.841989, d=0.187664; ר(resh)=0.830484, d=0.204118; ך(final_kaf)=0.816974, d=0.224029]
10: [ת(tav)=0.990336, d=0.009758; פ(pe)=0.966834, d=0.034304; ה(he)=0.963233, d=0.038170; מ(mem)=0.962843, d=0.038591; ט(tet)=0.961201, d=0.040365; ח(het)=0.958278, d=0.043539; ס(samekh)=0.958013, d=0.043828; ע(ayin)=0.951243, d=0.051256; ש(shin)=0.947966, d=0.054890; א(alef)=0.946557, d=0.056461; ו(vav)=0.939806, d=0.064049; צ(tsadi)=0.939274, d=0.064652; ן(final_nun)=0.934557, d=0.070026; כ(kaf)=0.932438, d=0.072458; ם(final_mem)=0.930780, d=0.074368; י(yod)=0.926310, d=0.079552; ק(qof)=0.921132, d=0.085620; ל(lamed)=0.920009, d=0.086946; נ(nun)=0.919497, d=0.087551; ף(final_pe)=0.917923, d=0.089415; ג(gimel)=0.915717, d=0.092040; ב(bet)=0.912975, d=0.095320; ץ(final_tsadi)=0.910228, d=0.098626; ז(zayin)=0.894804, d=0.117563; ד(dalet)=0.872470, d=0.146171; ר(resh)=0.860936, d=0.161526; ך(final_kaf)=0.844851, d=0.183641]
11: [ך(final_kaf)=0.981195, d=0.019165; ר(resh)=0.958659, d=0.043123; ד(dalet)=0.905431, d=0.104447; ף(final_pe)=0.900490, d=0.110507; נ(nun)=0.874268, d=0.143814; כ(kaf)=0.871922, d=0.146891; ץ(final_tsadi)=0.870570, d=0.148672; ל(lamed)=0.864393, d=0.156882; ג(gimel)=0.857203, d=0.166585; צ(tsadi)=0.854096, d=0.170829; ה(he)=0.852230, d=0.173391; ת(tav)=0.851059, d=0.175007; ע(ayin)=0.846552, d=0.181262; ב(bet)=0.841166, d=0.188826; י(yod)=0.836246, d=0.195820; מ(mem)=0.835458, d=0.196948; ח(het)=0.829939, d=0.204907; פ(pe)=0.829426, d=0.205653; ט(tet)=0.829116, d=0.206104; ס(samekh)=0.827924, d=0.207840; ז(zayin)=0.827908, d=0.207864; ק(qof)=0.826511, d=0.209906; ו(vav)=0.824475, d=0.212894; א(alef)=0.818764, d=0.221353; ן(final_nun)=0.817681, d=0.222971; ש(shin)=0.815408, d=0.226380; ם(final_mem)=0.804815, d=0.242521]
