index;rank_1_name;rank_1_char;rank_1_similarity;rank_1_distance;rank_2_name;rank_2_char;rank_2_similarity;rank_2_distance;rank_3_name;rank_3_char;rank_3_similarity;rank_3_distance;rank_4_name;rank_4_char;rank_4_similarity;rank_4_distance;rank_5_name;rank_5_char;rank_5_similarity;rank_5_distance
1;alef;א;0.987884;0.012264;shin;ש;0.987847;0.012303;samekh;ס;0.983310;0.016974;pe;פ;0.980984;0.019385;tet;ט;0.978093;0.022398
2;nun;נ;0.981699;0.018642;tsadi;צ;0.964113;0.037223;gimel;ג;0.949552;0.053128;kaf;כ;0.945636;0.057489;ayin;ע;0.933151;0.071638
3;yod;י;0.993144;0.006903;ayin;ע;0.963936;0.037413;vav;ו;0.953555;0.048707;alef;א;0.949755;0.052903;samekh;ס;0.945766;0.057344
4;alef;א;0.987884;0.012264;shin;ש;0.987847;0.012303;samekh;ס;0.983310;0.016974;pe;פ;0.980984;0.019385;tet;ט;0.978093;0.022398
5;vav;ו;0.993128;0.006919;final_nun;ן;0.985127;0.015097;pe;פ;0.960955;0.040632;alef;א;0.959985;0.041683;samekh;ס;0.959532;0.042175
6;he;ה;0.986170;0.014023;tav;ת;0.977717;0.022791;tet;ט;0.960563;0.041056;ayin;ע;0.959265;0.042465;het;ח;0.958888;0.042875
7;bet;ב;0.981413;0.018939;gimel;ג;0.964786;0.036499;tsadi;צ;0.963871;0.037484;ayin;ע;0.949822;0.052829;kaf;כ;0.949542;0.053139
8;alef;א;0.987884;0.012264;shin;ש;0.987847;0.012303;samekh;ס;0.983310;0.016974;pe;פ;0.980984;0.019385;tet;ט;0.978093;0.022398
9;vav;ו;0.993128;0.006919;final_nun;ן;0.985127;0.015097;pe;פ;0.960955;0.040632;alef;א;0.959985;0.041683;samekh;ס;0.959532;0.042175
10;tav;ת;0.990336;0.009758;pe;פ;0.966834;0.034304;he;ה;0.963233;0.038170;mem;מ;0.962843;0.038591;tet;ט;0.961201;0.040365
11;final_kaf;ך;0.981195;0.019165;resh;ר;0.958659;0.043123;dalet;ד;0.905431;0.104447;final_pe;ף;0.900490;0.110507;nun;נ;0.874268;0.143814
