symbol;name;mass_norm;centroid_x_norm;centroid_y_norm;inertia_x_norm;inertia_y_norm
א;alef;0.280547;0.481522;0.496985;0.044386;0.044654
ב;bet;0.227379;0.527000;0.541585;0.073130;0.036791
ג;gimel;0.228955;0.548599;0.530264;0.055460;0.024503
ד;dalet;0.183308;0.576829;0.373921;0.053712;0.028468
ה;he;0.244776;0.515227;0.474409;0.057085;0.067260
ו;vav;0.291375;0.500000;0.500000;0.047808;0.012204
ז;zayin;0.208897;0.462829;0.406173;0.053953;0.017888
ח;het;0.269154;0.485369;0.455974;0.051997;0.070161
ט;tet;0.278689;0.499423;0.496837;0.052771;0.059895
י;yod;0.238095;0.500000;0.500000;0.031888;0.012204
כ;kaf;0.224830;0.548748;0.500329;0.063121;0.036949
ל;lamed;0.195475;0.521560;0.472966;0.045452;0.042624
מ;mem;0.295428;0.522079;0.500365;0.056660;0.054864
נ;nun;0.249627;0.578897;0.517643;0.063745;0.025859
ס;samekh;0.282680;0.500440;0.500918;0.051187;0.051489
ע;ayin;0.249765;0.517427;0.501678;0.048741;0.041221
פ;pe;0.287637;0.497953;0.483445;0.055210;0.047407
צ;tsadi;0.260552;0.545681;0.518332;0.058999;0.034012
ק;qof;0.237152;0.464192;0.421598;0.054773;0.051268
ר;resh;0.179371;0.633122;0.404588;0.052693;0.040006
ש;shin;0.291965;0.481063;0.494833;0.046871;0.056408
ת;tav;0.271469;0.520248;0.465447;0.057101;0.054665
ך;final_kaf;0.175457;0.663669;0.412475;0.063488;0.035788
ם;final_mem;0.320647;0.487581;0.515751;0.061765;0.061416
ן;final_nun;0.312217;0.500000;0.500000;0.054902;0.012204
ף;final_pe;0.235317;0.571854;0.405291;0.051315;0.059057
ץ;final_tsadi;0.198109;0.520833;0.421262;0.051329;0.025072
