time_s;f0_hz;confidence;rms;overtone_count
0.00;138.68;0.6835;0.022812;3
0.05;132.04;0.7549;0.084267;7
0.10;110.80;0.7426;0.141586;8
0.15;106.52;0.8400;0.171405;8
0.20;104.50;0.8821;0.169737;8
0.25;104.01;0.9239;0.180326;7
0.30;104.01;0.9281;0.197823;7
0.35;102.08;0.9117;0.223051;8
0.40;100.68;0.9241;0.247824;6
0.45;101.61;0.9355;0.250693;4
0.50;102.08;0.9336;0.255173;6
0.55;102.08;0.9352;0.250449;6
0.60;102.08;0.9330;0.222917;6
0.65;102.08;0.9363;0.192169;7
0.70;103.04;0.9180;0.216349;8
0.75;105.00;0.9111;0.274877;8
0.80;106.01;0.9283;0.284625;9
0.85;104.01;0.9210;0.240350;8
0.90;103.04;0.9363;0.208138;8
0.95;103.04;0.9348;0.218447;8
1.00;104.50;0.9238;0.256458;8
1.05;106.01;0.9337;0.275100;8
1.10;105.50;0.9319;0.245736;8
1.15;104.01;0.9270;0.197191;8
1.20;104.50;0.9324;0.209625;7
1.25;105.50;0.9324;0.252021;7
1.30;106.52;0.9365;0.265198;8
1.35;107.04;0.9355;0.293405;8
1.40;107.56;0.9363;0.301748;9
1.45;107.04;0.9354;0.290802;9
1.50;107.56;0.9378;0.295804;9
1.55;107.56;0.9394;0.288344;8
1.60;108.62;0.9305;0.296561;8
1.65;109.70;0.9391;0.311963;8
1.70;110.25;0.9411;0.327402;6
1.75;110.80;0.9414;0.331718;7
1.80;111.36;0.9456;0.313792;7
1.85;111.36;0.9476;0.311406;7
1.90;111.93;0.9388;0.332756;8
1.95;112.50;0.9476;0.338536;8
2.00;113.08;0.9424;0.324020;8
2.05;113.08;0.9360;0.330398;8
2.10;114.25;0.9437;0.334591;8
2.15;114.84;0.9469;0.324886;8
2.20;113.66;0.9378;0.301706;8
2.25;112.50;0.9471;0.287096;8
2.30;112.50;0.9442;0.290302;8
2.35;113.08;0.9462;0.298616;9
2.40;113.08;0.9434;0.317413;9
2.45;114.25;0.9193;0.343926;8
2.50;116.05;0.9440;0.354074;7
2.55;116.05;0.9493;0.330188;7
2.60;115.45;0.9459;0.305799;8
2.65;115.45;0.9455;0.300996;8
2.70;115.45;0.9447;0.318315;7
2.75;114.84;0.9466;0.363618;7
2.80;114.84;0.9490;0.386867;7
2.85;114.84;0.9475;0.361049;6
2.90;115.45;0.9452;0.300126;7
2.95;115.45;0.9492;0.226353;7
3.00;115.45;0.9475;0.181341;6
3.05;115.45;0.9378;0.164181;7
3.10;116.05;0.9335;0.180299;8
3.15;115.45;0.9413;0.186321;8
3.20;115.45;0.9393;0.172734;8
3.25;115.45;0.9384;0.152675;8
3.30;114.84;0.9135;0.273654;8
3.35;114.25;0.9298;0.350329;7
3.40;114.84;0.9431;0.323273;7
3.45;116.67;0.9142;0.283034;8
3.50;117.91;0.9405;0.271530;9
3.55;117.29;0.9472;0.282291;9
3.60;117.29;0.9447;0.269180;9
3.65;117.29;0.9449;0.267558;9
3.70;118.55;0.9458;0.279542;8
3.75;120.49;0.9399;0.301479;7
3.80;121.15;0.9511;0.319041;7
3.85;120.49;0.9515;0.317105;8
3.90;121.15;0.9490;0.315960;8
3.95;123.88;0.9171;0.324809;6
4.00;126.00;0.9556;0.332504;6
4.05;124.58;0.9374;0.322501;5
4.10;123.18;0.9526;0.301075;5
4.15;124.58;0.9518;0.263402;6
4.20;126.00;0.9433;0.228167;7
4.25;126.00;0.9433;0.233517;7
4.30;125.28;0.9402;0.284012;7
4.35;127.46;0.9488;0.304669;5
4.40;128.95;0.9493;0.297184;6
4.45;128.95;0.9557;0.303556;7
4.50;129.71;0.9569;0.292813;6
4.55;131.25;0.9544;0.260018;6
4.60;132.04;0.9568;0.248865;5
4.65;133.64;0.9575;0.276153;5
4.70;132.04;0.9563;0.283809;5
4.75;132.04;0.9570;0.285091;6
4.80;134.45;0.9533;0.302095;6
4.85;135.28;0.9600;0.328351;6
4.90;134.45;0.9614;0.313067;6
4.95;135.28;0.9538;0.261881;6
5.00;136.11;0.9437;0.200677;6
5.05;138.68;0.9405;0.183057;7
5.10;136.11;0.9361;0.252574;6
5.15;136.96;0.9397;0.278601;6
5.20;141.35;0.9405;0.292957;6
5.25;143.18;0.9585;0.328990;5
5.30;139.56;0.9030;0.281486;6
5.35;138.68;0.9495;0.218767;6
5.40;143.18;0.9517;0.278419;6
5.45;143.18;0.9612;0.294333;5
