time_s;f0_hz;confidence;rms;overtone_count
0.00;117.29;0.3462;0.026644;4
0.05;119.84;0.8530;0.047940;3
0.10;127.46;0.6981;0.196481;7
0.15;126.72;0.8524;0.349739;10
0.20;128.20;0.9313;0.403037;8
0.25;129.71;0.8245;0.318379;9
0.30;118.55;0.7051;0.174207;6
0.35;113.08;0.6576;0.091967;6
0.40;102.08;0.6296;0.063293;4
0.45;501.14;0.6880;0.215626;1
0.50;106.52;0.7876;0.285409;12
0.55;107.04;0.8126;0.275235;13
0.60;110.80;0.7828;0.213828;11
0.65;108.62;0.6700;0.094247;11
0.70;108.09;0.8111;0.062818;8
0.75;98.00;0.7255;0.044414;4
0.80;106.52;0.6425;0.184733;7
0.85;103.04;0.6456;0.221593;10
0.90;100.23;0.4205;0.182425;10
0.95;101.15;0.8060;0.193446;11
1.00;99.32;0.8798;0.180543;8
1.05;100.68;0.9000;0.140934;4
1.10;98.88;0.9181;0.099445;4
1.15;101.15;0.8279;0.146043;5
1.20;537.80;0.5591;0.173844;0
1.25;689.06;0.5960;0.159945;1
1.30;180.74;0.3511;0.118594;6
