time_s;f0_hz;confidence;rms;overtone_count
0.00;137.81;0.9598;0.033846;3
0.05;139.56;0.9642;0.053307;3
0.10;141.35;0.9652;0.070406;3
0.15;144.12;0.9669;0.086652;3
0.20;146.03;0.9676;0.100650;3
0.25;148.99;0.9688;0.112404;3
0.30;151.03;0.9699;0.125178;3
0.35;153.12;0.9705;0.138030;3
0.40;156.38;0.9714;0.148932;3
0.45;158.63;0.9726;0.159044;3
0.50;160.95;0.9735;0.168870;3
0.55;163.33;0.9741;0.178460;3
0.60;165.79;0.9746;0.187387;3
0.65;168.32;0.9751;0.198939;3
0.70;172.27;0.9760;0.208844;3
0.75;175.00;0.9767;0.217921;3
0.80;177.82;0.9775;0.229482;3
0.85;180.74;0.9781;0.240112;2
0.90;183.75;0.9785;0.251079;2
0.95;185.29;0.9793;0.263714;2
1.00;188.46;0.9802;0.274884;2
1.05;191.74;0.9810;0.287617;2
1.10;195.13;0.9816;0.302354;2
1.15;198.65;0.9819;0.315198;2
1.20;202.29;0.9816;0.329064;2
1.25;204.17;0.9826;0.343880;2
1.30;208.02;0.9834;0.360840;2
1.35;212.02;0.9832;0.375267;2
1.40;214.08;0.9839;0.391656;2
1.45;218.32;0.9849;0.409813;2
1.50;222.73;0.9842;0.424837;2
1.55;225.00;0.9857;0.444764;1
1.60;229.69;0.9855;0.462099;1
1.65;232.11;0.9864;0.477095;1
1.70;237.10;0.9865;0.495401;1
1.75;239.67;0.9873;0.512438;1
1.80;245.00;0.9871;0.529231;1
1.85;247.75;0.9882;0.545984;1
1.90;250.57;0.9871;0.557966;1
1.95;256.40;0.9886;0.571300;1
2.00;259.41;0.9888;0.583806;1
2.05;265.66;0.9879;0.594476;1
2.10;268.90;0.9895;0.601738;1
2.15;272.22;0.9896;0.603643;1
2.20;275.62;0.9882;0.607046;1
2.25;282.69;0.9897;0.608808;1
2.30;286.36;0.9906;0.605742;2
2.35;290.13;0.9905;0.599457;2
2.40;294.00;0.9894;0.591616;1
2.45;302.05;0.9891;0.580620;1
2.50;306.25;0.9906;0.567829;1
2.55;310.56;0.9915;0.553387;1
2.60;315.00;0.9918;0.538592;2
2.65;319.57;0.9917;0.523276;2
2.70;324.26;0.9911;0.507637;2
2.75;329.10;0.9904;0.490642;3
2.80;334.09;0.9898;0.472155;3
2.85;339.23;0.9894;0.452962;4
2.90;344.53;0.9892;0.434930;4
2.95;350.00;0.9889;0.417502;5
3.00;355.65;0.9886;0.401128;5
3.05;361.48;0.9883;0.387379;5
3.10;367.50;0.9882;0.374689;5
3.15;373.73;0.9889;0.362649;7
3.20;380.17;0.9901;0.350885;7
3.25;386.84;0.9914;0.336899;7
3.30;393.75;0.9923;0.322042;7
3.35;400.91;0.9922;0.308890;7
3.40;408.33;0.9907;0.297075;7
3.45;416.04;0.9866;0.286904;6
3.50;424.04;0.9785;0.278660;6
3.55;424.04;0.9851;0.271619;6
3.60;432.35;0.9905;0.265291;6
3.65;441.00;0.9920;0.260165;6
3.70;450.00;0.9873;0.255391;6
3.75;459.38;0.9739;0.250946;6
3.80;459.38;0.9841;0.244459;6
3.85;469.15;0.9917;0.237062;6
3.90;479.35;0.9883;0.229179;6
3.95;242.31;0.9710;0.221315;7
4.00;490.00;0.9850;0.215132;6
4.05;501.14;0.9919;0.208907;5
4.10;512.79;0.9794;0.202116;5
4.15;512.79;0.9797;0.195605;5
4.20;525.00;0.9925;0.189613;5
4.25;537.80;0.9829;0.186020;5
4.30;537.80;0.9794;0.185333;5
4.35;551.25;0.9930;0.187693;5
4.40;565.38;0.9752;0.191080;5
4.45;565.38;0.9832;0.193830;5
4.50;580.26;0.9897;0.193466;5
4.55;294.00;0.9722;0.188447;6
4.60;595.95;0.9918;0.179737;5
4.65;612.50;0.9709;0.168906;4
4.70;612.50;0.9848;0.157312;5
4.75;630.00;0.9860;0.146230;5
4.80;630.00;0.9759;0.137107;4
4.85;648.53;0.9922;0.130016;5
4.90;329.10;0.9782;0.124672;6
4.95;668.18;0.9939;0.120646;4
5.00;339.23;0.9809;0.118453;5
5.05;689.06;0.9941;0.117719;4
5.10;350.00;0.9799;0.118399;5
5.15;711.29;0.9941;0.120592;4
5.20;361.48;0.9795;0.124216;5
5.25;735.00;0.9942;0.127996;4
5.30;373.73;0.9790;0.129654;5
5.35;760.34;0.9936;0.126972;4
5.40;386.84;0.9708;0.118420;5
5.45;787.50;0.9894;0.105209;4
5.50;787.50;0.9774;0.090626;3
5.55;816.67;0.9797;0.077177;3
5.60;816.67;0.9897;0.065612;4
5.65;416.04;0.9784;0.055984;5
5.70;848.08;0.9951;0.047574;4
5.75;432.35;0.9796;0.040005;5
5.80;882.00;0.9888;0.032713;4
5.85;882.00;0.9864;0.025008;3
5.90;450.00;0.9799;0.016375;5
